Food,B,C,D,E,F,G,H,I,J
2845,2,4,2,3,1,1,2,3,4
2846,2,4,2,3,1,1,3,1,4
2847,2,4,2,3,1,1,3,2,4
2848,2,4,2,3,1,1,3,3,4
2849,2,4,2,3,1,1,4,1,4
2850,2,4,2,3,1,1,4,2,4
2851,2,4,2,3,1,1,4,3,4
2852,2,4,2,3,1,2,1,1,4
2853,2,4,2,3,1,2,1,2,4
2854,2,4,2,3,1,2,1,3,4
2855,2,4,2,3,1,2,2,1,4
2856,2,4,2,3,1,2,2,2,4
2857,2,4,2,3,1,2,2,3,4
2858,2,4,2,3,1,2,3,1,4
2859,2,4,2,3,1,2,3,2,4
2860,2,4,2,3,1,2,3,3,4
2861,2,4,2,3,1,2,4,1,4
2862,2,4,2,3,1,2,4,2,4
2863,2,4,2,3,1,2,4,3,4
2864,2,4,2,3,1,3,1,1,4
2865,2,4,2,3,1,3,1,2,4
2866,2,4,2,3,1,3,1,3,4
2867,2,4,2,3,1,3,2,1,4
2868,2,4,2,3,1,3,2,2,4
2869,2,4,2,3,1,3,2,3,4
2870,2,4,2,3,1,3,3,1,4
2871,2,4,2,3,1,3,3,2,4
2872,2,4,2,3,1,3,3,3,4
2873,2,4,2,3,1,3,4,1,4
2874,2,4,2,3,1,3,4,2,4
2875,2,4,2,3,1,3,4,3,4
2876,2,4,2,3,2,1,1,1,5
2877,2,4,2,3,2,1,1,2,5
2878,2,4,2,3,2,1,1,3,5
2879,2,4,2,3,2,1,2,1,5
2880,2,4,2,3,2,1,2,2,5
2881,2,4,2,3,2,1,2,3,5
2882,2,4,2,3,2,1,3,1,5
2883,2,4,2,3,2,1,3,2,5
2884,2,4,2,3,2,1,3,3,5
2885,2,4,2,3,2,1,4,1,5
2886,2,4,2,3,2,1,4,2,5
2887,2,4,2,3,2,1,4,3,5
2888,2,4,2,3,2,2,1,1,5
2889,2,4,2,3,2,2,1,2,5
2890,2,4,2,3,2,2,1,3,5
2891,2,4,2,3,2,2,2,1,5
2892,2,4,2,3,2,2,2,2,5
2893,2,4,2,3,2,2,2,3,5
2894,2,4,2,3,2,2,3,1,5
2895,2,4,2,3,2,2,3,2,5
2896,2,4,2,3,2,2,3,3,5
2897,2,4,2,3,2,2,4,1,5
2898,2,4,2,3,2,2,4,2,5
2899,2,4,2,3,2,2,4,3,5
2900,2,4,2,3,2,3,1,1,5
2901,2,4,2,3,2,3,1,2,5
2902,2,4,2,3,2,3,1,3,5
2903,2,4,2,3,2,3,2,1,5
2904,2,4,2,3,2,3,2,2,5
2905,2,4,2,3,2,3,2,3,5
2906,2,4,2,3,2,3,3,1,5
2907,2,4,2,3,2,3,3,2,5
2908,2,4,2,3,2,3,3,3,5
2909,2,4,2,3,2,3,4,1,5
2910,2,4,2,3,2,3,4,2,5
2911,2,4,2,3,2,3,4,3,5
2912,2,4,2,3,3,2,1,1,9
2913,2,4,2,3,3,2,2,1,9
2914,2,4,2,3,3,2,3,1,9
2915,2,4,2,3,3,2,4,1,9
2916,2,4,3,1,1,1,1,1,4
2917,2,4,3,1,1,1,1,2,4
2918,2,4,3,1,1,1,1,3,4
2919,2,4,3,1,1,1,2,1,4
2920,2,4,3,1,1,1,2,2,4
2921,2,4,3,1,1,1,2,3,4
2922,2,4,3,1,1,1,3,1,4
2923,2,4,3,1,1,1,3,2,4
2924,2,4,3,1,1,1,3,3,4
2925,2,4,3,1,1,1,4,1,4
2926,2,4,3,1,1,1,4,2,4
2927,2,4,3,1,1,1,4,3,4
2928,2,4,3,1,1,2,1,1,4
2929,2,4,3,1,1,2,1,2,4
2930,2,4,3,1,1,2,1,3,4
2931,2,4,3,1,1,2,2,1,4
2932,2,4,3,1,1,2,2,2,4
2933,2,4,3,1,1,2,2,3,4
2934,2,4,3,1,1,2,3,1,4
2935,2,4,3,1,1,2,3,2,4
2936,2,4,3,1,1,2,3,3,4
2937,2,4,3,1,1,2,4,1,4
2938,2,4,3,1,1,2,4,2,4
2939,2,4,3,1,1,2,4,3,4
2940,2,4,3,1,1,3,1,1,4
2941,2,4,3,1,1,3,1,2,4
2942,2,4,3,1,1,3,1,3,4
2943,2,4,3,1,1,3,2,1,4
2944,2,4,3,1,1,3,2,2,4
2945,2,4,3,1,1,3,2,3,4
2946,2,4,3,1,1,3,3,1,4
2947,2,4,3,1,1,3,3,2,4
2948,2,4,3,1,1,3,3,3,4
2949,2,4,3,1,1,3,4,1,4
2950,2,4,3,1,1,3,4,2,4
2951,2,4,3,1,1,3,4,3,4
2952,2,4,3,1,2,2,1,1,9
2953,2,4,3,1,2,2,2,1,9
2954,2,4,3,1,2,2,3,1,9
2955,2,4,3,1,2,2,4,1,9
2956,2,4,3,1,3,2,1,1,9
2957,2,4,3,1,3,2,2,1,9
2958,2,4,3,1,3,2,3,1,9
2959,2,4,3,1,3,2,4,1,9
2960,2,4,3,2,1,1,1,1,4
2961,2,4,3,2,1,1,1,2,4
2962,2,4,3,2,1,1,1,3,4
2963,2,4,3,2,1,1,2,1,4
2964,2,4,3,2,1,1,2,2,4
2965,2,4,3,2,1,1,2,3,4
2966,2,4,3,2,1,1,3,1,4
2967,2,4,3,2,1,1,3,2,4
2968,2,4,3,2,1,1,3,3,4
2969,2,4,3,2,1,1,4,1,4
2970,2,4,3,2,1,1,4,2,4
2971,2,4,3,2,1,1,4,3,4
2972,2,4,3,2,1,2,1,1,4
2973,2,4,3,2,1,2,1,2,4
2974,2,4,3,2,1,2,1,3,4
2975,2,4,3,2,1,2,2,1,4
2976,2,4,3,2,1,2,2,2,4
2977,2,4,3,2,1,2,2,3,4
2978,2,4,3,2,1,2,3,1,4
2979,2,4,3,2,1,2,3,2,4
2980,2,4,3,2,1,2,3,3,4
2981,2,4,3,2,1,2,4,1,4
2982,2,4,3,2,1,2,4,2,4
2983,2,4,3,2,1,2,4,3,4
2984,2,4,3,2,1,3,1,1,4
2985,2,4,3,2,1,3,1,2,4
2986,2,4,3,2,1,3,1,3,4
2987,2,4,3,2,1,3,2,1,4
2988,2,4,3,2,1,3,2,2,4
2989,2,4,3,2,1,3,2,3,4
2990,2,4,3,2,1,3,3,1,4
2991,2,4,3,2,1,3,3,2,4
2992,2,4,3,2,1,3,3,3,4
2993,2,4,3,2,1,3,4,1,4
2994,2,4,3,2,1,3,4,2,4
2995,2,4,3,2,1,3,4,3,4
2996,2,4,3,2,2,2,1,1,9
2997,2,4,3,2,2,2,2,1,9
2998,2,4,3,2,2,2,3,1,9
2999,2,4,3,2,2,2,4,1,9
3000,2,4,3,2,3,2,1,1,9
3001,2,4,3,2,3,2,2,1,9
3002,2,4,3,2,3,2,3,1,9
3003,2,4,3,2,3,2,4,1,9
3004,2,4,3,3,1,1,1,1,4
3005,2,4,3,3,1,1,1,2,4
3006,2,4,3,3,1,1,1,3,4
3007,2,4,3,3,1,1,2,1,4
3008,2,4,3,3,1,1,2,2,4
3009,2,4,3,3,1,1,2,3,4
3010,2,4,3,3,1,1,3,1,4
3011,2,4,3,3,1,1,3,2,4
3012,2,4,3,3,1,1,3,3,4
3013,2,4,3,3,1,1,4,1,4
3014,2,4,3,3,1,1,4,2,4
3015,2,4,3,3,1,1,4,3,4
3016,2,4,3,3,1,2,1,1,4
3017,2,4,3,3,1,2,1,2,4
3018,2,4,3,3,1,2,1,3,4
3019,2,4,3,3,1,2,2,1,4
3020,2,4,3,3,1,2,2,2,4
3021,2,4,3,3,1,2,2,3,4
3022,2,4,3,3,1,2,3,1,4
3023,2,4,3,3,1,2,3,2,4
3024,2,4,3,3,1,2,3,3,4
3025,2,4,3,3,1,2,4,1,4
3026,2,4,3,3,1,2,4,2,4
3027,2,4,3,3,1,2,4,3,4
3028,2,4,3,3,1,3,1,1,4
3029,2,4,3,3,1,3,1,2,4
3030,2,4,3,3,1,3,1,3,4
3031,2,4,3,3,1,3,2,1,4
3032,2,4,3,3,1,3,2,2,4
3033,2,4,3,3,1,3,2,3,4
3034,2,4,3,3,1,3,3,1,4
3035,2,4,3,3,1,3,3,2,4
3036,2,4,3,3,1,3,3,3,4
3037,2,4,3,3,1,3,4,1,4
3038,2,4,3,3,1,3,4,2,4
3039,2,4,3,3,1,3,4,3,4
3040,2,4,3,3,2,2,1,1,9
3041,2,4,3,3,2,2,2,1,9
3042,2,4,3,3,2,2,3,1,9
3043,2,4,3,3,2,2,4,1,9
3044,2,4,3,3,3,2,1,1,9
3045,2,4,3,3,3,2,2,1,9
3046,2,4,3,3,3,2,3,1,9
3047,2,4,3,3,3,2,4,1,9
3048,2,5,1,1,1,1,1,1,4
3049,2,5,1,1,1,1,1,2,4
3050,2,5,1,1,1,1,1,3,4
3051,2,5,1,1,1,1,2,1,4
3052,2,5,1,1,1,1,2,2,4
3053,2,5,1,1,1,1,2,3,4
3054,2,5,1,1,1,1,3,1,4
3055,2,5,1,1,1,1,3,2,4
3056,2,5,1,1,1,1,3,3,4
3057,2,5,1,1,1,1,4,1,4
3058,2,5,1,1,1,1,4,2,4
3059,2,5,1,1,1,1,4,3,4
3060,2,5,1,1,1,2,1,1,4
3061,2,5,1,1,1,2,1,2,4
3062,2,5,1,1,1,2,1,3,4
3063,2,5,1,1,1,2,2,1,4
3064,2,5,1,1,1,2,2,2,4
3065,2,5,1,1,1,2,2,3,4
3066,2,5,1,1,1,2,3,1,4
3067,2,5,1,1,1,2,3,2,4
3068,2,5,1,1,1,2,3,3,4
3069,2,5,1,1,1,2,4,1,4
3070,2,5,1,1,1,2,4,2,4
3071,2,5,1,1,1,2,4,3,4
3072,2,5,1,1,1,3,1,1,4
3073,2,5,1,1,1,3,1,2,4
3074,2,5,1,1,1,3,1,3,4
3075,2,5,1,1,1,3,2,1,4
3076,2,5,1,1,1,3,2,2,4
3077,2,5,1,1,1,3,2,3,4
3078,2,5,1,1,1,3,3,1,4
3079,2,5,1,1,1,3,3,2,4
3080,2,5,1,1,1,3,3,3,4
3081,2,5,1,1,1,3,4,1,4
3082,2,5,1,1,1,3,4,2,4
3083,2,5,1,1,1,3,4,3,4
3084,2,5,1,1,2,2,1,1,9
3085,2,5,1,1,2,2,2,1,9
3086,2,5,1,1,2,2,3,1,9
3087,2,5,1,1,2,2,4,1,9
3088,2,5,1,1,3,2,1,1,9
3089,2,5,1,1,3,2,2,1,9
3090,2,5,1,1,3,2,3,1,9
3091,2,5,1,1,3,2,4,1,9
3092,2,5,1,2,1,1,1,1,4
3093,2,5,1,2,1,1,1,2,4
3094,2,5,1,2,1,1,1,3,4
3095,2,5,1,2,1,1,2,1,4
3096,2,5,1,2,1,1,2,2,4
3097,2,5,1,2,1,1,2,3,4
3098,2,5,1,2,1,1,3,1,4
3099,2,5,1,2,1,1,3,2,4
3100,2,5,1,2,1,1,3,3,4
3101,2,5,1,2,1,1,4,1,4
3102,2,5,1,2,1,1,4,2,4
3103,2,5,1,2,1,1,4,3,4
3104,2,5,1,2,1,2,1,1,4
3105,2,5,1,2,1,2,1,2,4
3106,2,5,1,2,1,2,1,3,4
3107,2,5,1,2,1,2,2,1,4
3108,2,5,1,2,1,2,2,2,4
3109,2,5,1,2,1,2,2,3,4
3110,2,5,1,2,1,2,3,1,4
3111,2,5,1,2,1,2,3,2,4
3112,2,5,1,2,1,2,3,3,4
3113,2,5,1,2,1,2,4,1,4
3114,2,5,1,2,1,2,4,2,4
3115,2,5,1,2,1,2,4,3,4
3116,2,5,1,2,1,3,1,1,4
3117,2,5,1,2,1,3,1,2,4
3118,2,5,1,2,1,3,1,3,4
3119,2,5,1,2,1,3,2,1,4
3120,2,5,1,2,1,3,2,2,4
3121,2,5,1,2,1,3,2,3,4
3122,2,5,1,2,1,3,3,1,4
3123,2,5,1,2,1,3,3,2,4
3124,2,5,1,2,1,3,3,3,4
3125,2,5,1,2,1,3,4,1,4
3126,2,5,1,2,1,3,4,2,4
3127,2,5,1,2,1,3,4,3,4
3128,2,5,1,2,2,2,1,1,9
3129,2,5,1,2,2,2,2,1,9
3130,2,5,1,2,2,2,3,1,9
3131,2,5,1,2,2,2,4,1,9
3132,2,5,1,2,3,2,1,1,9
3133,2,5,1,2,3,2,2,1,9
3134,2,5,1,2,3,2,3,1,9
3135,2,5,1,2,3,2,4,1,9
3136,2,5,1,3,1,1,1,1,4
3137,2,5,1,3,1,1,1,2,4
3138,2,5,1,3,1,1,1,3,4
3139,2,5,1,3,1,1,2,1,4
3140,2,5,1,3,1,1,2,2,4
3141,2,5,1,3,1,1,2,3,4
3142,2,5,1,3,1,1,3,1,4
3143,2,5,1,3,1,1,3,2,4
3144,2,5,1,3,1,1,3,3,4
3145,2,5,1,3,1,1,4,1,4
3146,2,5,1,3,1,1,4,2,4
3147,2,5,1,3,1,1,4,3,4
3148,2,5,1,3,1,2,1,1,4
3149,2,5,1,3,1,2,1,2,4
3150,2,5,1,3,1,2,1,3,4
3151,2,5,1,3,1,2,2,1,4
3152,2,5,1,3,1,2,2,2,4
3153,2,5,1,3,1,2,2,3,4
3154,2,5,1,3,1,2,3,1,4
3155,2,5,1,3,1,2,3,2,4
3156,2,5,1,3,1,2,3,3,4
3157,2,5,1,3,1,2,4,1,4
3158,2,5,1,3,1,2,4,2,4
3159,2,5,1,3,1,2,4,3,4
3160,2,5,1,3,1,3,1,1,4
3161,2,5,1,3,1,3,1,2,4
3162,2,5,1,3,1,3,1,3,4
3163,2,5,1,3,1,3,2,1,4
3164,2,5,1,3,1,3,2,2,4
3165,2,5,1,3,1,3,2,3,4
3166,2,5,1,3,1,3,3,1,4
3167,2,5,1,3,1,3,3,2,4
3168,2,5,1,3,1,3,3,3,4
3169,2,5,1,3,1,3,4,1,4
3170,2,5,1,3,1,3,4,2,4
3171,2,5,1,3,1,3,4,3,4
3172,2,5,1,3,2,2,1,1,9
3173,2,5,1,3,2,2,2,1,9
3174,2,5,1,3,2,2,3,1,9
3175,2,5,1,3,2,2,4,1,9
3176,2,5,1,3,3,2,1,1,9
3177,2,5,1,3,3,2,2,1,9
3178,2,5,1,3,3,2,3,1,9
3179,2,5,1,3,3,2,4,1,9
3180,2,5,2,1,1,1,1,1,4
3181,2,5,2,1,1,1,1,2,4
3182,2,5,2,1,1,1,1,3,4
3183,2,5,2,1,1,1,2,1,4
3184,2,5,2,1,1,1,2,2,4
3185,2,5,2,1,1,1,2,3,4
3186,2,5,2,1,1,1,3,1,4
3187,2,5,2,1,1,1,3,2,4
3188,2,5,2,1,1,1,3,3,4
3189,2,5,2,1,1,1,4,1,4
3190,2,5,2,1,1,1,4,2,4
3191,2,5,2,1,1,1,4,3,4
3192,2,5,2,1,1,2,1,1,4
3193,2,5,2,1,1,2,1,2,4
3194,2,5,2,1,1,2,1,3,4
3195,2,5,2,1,1,2,2,1,4
3196,2,5,2,1,1,2,2,2,4
3197,2,5,2,1,1,2,2,3,4
3198,2,5,2,1,1,2,3,1,4
3199,2,5,2,1,1,2,3,2,4
3200,2,5,2,1,1,2,3,3,4
3201,2,5,2,1,1,2,4,1,4
3202,2,5,2,1,1,2,4,2,4
3203,2,5,2,1,1,2,4,3,4
3204,2,5,2,1,1,3,1,1,4
3205,2,5,2,1,1,3,1,2,4
3206,2,5,2,1,1,3,1,3,4
3207,2,5,2,1,1,3,2,1,4
3208,2,5,2,1,1,3,2,2,4
3209,2,5,2,1,1,3,2,3,4
3210,2,5,2,1,1,3,3,1,4
3211,2,5,2,1,1,3,3,2,4
3212,2,5,2,1,1,3,3,3,4
3213,2,5,2,1,1,3,4,1,4
3214,2,5,2,1,1,3,4,2,4
3215,2,5,2,1,1,3,4,3,4
3216,2,5,2,1,2,2,1,1,9
3217,2,5,2,1,2,2,2,1,9
3218,2,5,2,1,2,2,3,1,9
3219,2,5,2,1,2,2,4,1,9
3220,2,5,2,1,3,2,1,1,9
3221,2,5,2,1,3,2,2,1,9
3222,2,5,2,1,3,2,3,1,9
3223,2,5,2,1,3,2,4,1,9
3224,2,5,2,2,1,1,1,1,4
3225,2,5,2,2,1,1,1,2,4
3226,2,5,2,2,1,1,1,3,4
3227,2,5,2,2,1,1,2,1,4
3228,2,5,2,2,1,1,2,2,4
3229,2,5,2,2,1,1,2,3,4
3230,2,5,2,2,1,1,3,1,4
3231,2,5,2,2,1,1,3,2,4
3232,2,5,2,2,1,1,3,3,4
3233,2,5,2,2,1,1,4,1,4
3234,2,5,2,2,1,1,4,2,4
3235,2,5,2,2,1,1,4,3,4
3236,2,5,2,2,1,2,1,1,4
3237,2,5,2,2,1,2,1,2,4
3238,2,5,2,2,1,2,1,3,4
3239,2,5,2,2,1,2,2,1,4
3240,2,5,2,2,1,2,2,2,4
3241,2,5,2,2,1,2,2,3,4
3242,2,5,2,2,1,2,3,1,4
3243,2,5,2,2,1,2,3,2,4
3244,2,5,2,2,1,2,3,3,4
3245,2,5,2,2,1,2,4,1,4
3246,2,5,2,2,1,2,4,2,4
3247,2,5,2,2,1,2,4,3,4
3248,2,5,2,2,1,3,1,1,4
3249,2,5,2,2,1,3,1,2,4
3250,2,5,2,2,1,3,1,3,4
3251,2,5,2,2,1,3,2,1,4
3252,2,5,2,2,1,3,2,2,4
3253,2,5,2,2,1,3,2,3,4
3254,2,5,2,2,1,3,3,1,4
3255,2,5,2,2,1,3,3,2,4
3256,2,5,2,2,1,3,3,3,4
3257,2,5,2,2,1,3,4,1,4
3258,2,5,2,2,1,3,4,2,4
3259,2,5,2,2,1,3,4,3,4
3260,2,5,2,2,2,2,1,1,9
3261,2,5,2,2,2,2,2,1,9
3262,2,5,2,2,2,2,3,1,9
3263,2,5,2,2,2,2,4,1,9
3264,2,5,2,2,3,2,1,1,9
3265,2,5,2,2,3,2,2,1,9
3266,2,5,2,2,3,2,3,1,9
3267,2,5,2,2,3,2,4,1,9
3268,2,5,2,3,1,1,1,1,4
3269,2,5,2,3,1,1,1,2,4
3270,2,5,2,3,1,1,1,3,4
3271,2,5,2,3,1,1,2,1,4
3272,2,5,2,3,1,1,2,2,4
3273,2,5,2,3,1,1,2,3,4
3274,2,5,2,3,1,1,3,1,4
3275,2,5,2,3,1,1,3,2,4
3276,2,5,2,3,1,1,3,3,4
3277,2,5,2,3,1,1,4,1,4
3278,2,5,2,3,1,1,4,2,4
3279,2,5,2,3,1,1,4,3,4
3280,2,5,2,3,1,2,1,1,4
3281,2,5,2,3,1,2,1,2,4
3282,2,5,2,3,1,2,1,3,4
3283,2,5,2,3,1,2,2,1,4
3284,2,5,2,3,1,2,2,2,4
3285,2,5,2,3,1,2,2,3,4
3286,2,5,2,3,1,2,3,1,4
3287,2,5,2,3,1,2,3,2,4
3288,2,5,2,3,1,2,3,3,4
3289,2,5,2,3,1,2,4,1,4
3290,2,5,2,3,1,2,4,2,4
3291,2,5,2,3,1,2,4,3,4
3292,2,5,2,3,1,3,1,1,4
3293,2,5,2,3,1,3,1,2,4
3294,2,5,2,3,1,3,1,3,4
3295,2,5,2,3,1,3,2,1,4
3296,2,5,2,3,1,3,2,2,4
3297,2,5,2,3,1,3,2,3,4
3298,2,5,2,3,1,3,3,1,4
3299,2,5,2,3,1,3,3,2,4
3300,2,5,2,3,1,3,3,3,4
3301,2,5,2,3,1,3,4,1,4
3302,2,5,2,3,1,3,4,2,4
3303,2,5,2,3,1,3,4,3,4
3304,2,5,2,3,2,2,1,1,9
3305,2,5,2,3,2,2,2,1,9
3306,2,5,2,3,2,2,3,1,9
3307,2,5,2,3,2,2,4,1,9
3308,2,5,2,3,3,2,1,1,9
3309,2,5,2,3,3,2,2,1,9
3310,2,5,2,3,3,2,3,1,9
3311,2,5,2,3,3,2,4,1,9
3312,2,5,3,1,1,1,1,1,4
3313,2,5,3,1,1,1,1,2,4
3314,2,5,3,1,1,1,1,3,4
3315,2,5,3,1,1,1,2,1,4
3316,2,5,3,1,1,1,2,2,4
3317,2,5,3,1,1,1,2,3,4
3318,2,5,3,1,1,1,3,1,4
3319,2,5,3,1,1,1,3,2,4
3320,2,5,3,1,1,1,3,3,4
3321,2,5,3,1,1,1,4,1,4
3322,2,5,3,1,1,1,4,2,4
3323,2,5,3,1,1,1,4,3,4
3324,2,5,3,1,1,2,1,1,4
3325,2,5,3,1,1,2,1,2,4
3326,2,5,3,1,1,2,1,3,4
3327,2,5,3,1,1,2,2,1,4
3328,2,5,3,1,1,2,2,2,4
3329,2,5,3,1,1,2,2,3,4
3330,2,5,3,1,1,2,3,1,4
3331,2,5,3,1,1,2,3,2,4
3332,2,5,3,1,1,2,3,3,4
3333,2,5,3,1,1,2,4,1,4
3334,2,5,3,1,1,2,4,2,4
3335,2,5,3,1,1,2,4,3,4
3336,2,5,3,1,1,3,1,1,4
3337,2,5,3,1,1,3,1,2,4
3338,2,5,3,1,1,3,1,3,4
3339,2,5,3,1,1,3,2,1,4
3340,2,5,3,1,1,3,2,2,4
3341,2,5,3,1,1,3,2,3,4
3342,2,5,3,1,1,3,3,1,4
3343,2,5,3,1,1,3,3,2,4
3344,2,5,3,1,1,3,3,3,4
3345,2,5,3,1,1,3,4,1,4
3346,2,5,3,1,1,3,4,2,4
3347,2,5,3,1,1,3,4,3,4
3348,2,5,3,1,2,2,1,1,9
3349,2,5,3,1,2,2,2,1,9
3350,2,5,3,1,2,2,3,1,9
3351,2,5,3,1,2,2,4,1,9
3352,2,5,3,1,3,2,1,1,9
3353,2,5,3,1,3,2,2,1,9
3354,2,5,3,1,3,2,3,1,9
3355,2,5,3,1,3,2,4,1,9
3356,2,5,3,2,1,1,1,1,4
3357,2,5,3,2,1,1,1,2,4
3358,2,5,3,2,1,1,1,3,4
3359,2,5,3,2,1,1,2,1,4
3360,2,5,3,2,1,1,2,2,4
3361,2,5,3,2,1,1,2,3,4
3362,2,5,3,2,1,1,3,1,4
3363,2,5,3,2,1,1,3,2,4
3364,2,5,3,2,1,1,3,3,4
3365,2,5,3,2,1,1,4,1,4
3366,2,5,3,2,1,1,4,2,4
3367,2,5,3,2,1,1,4,3,4
3368,2,5,3,2,1,2,1,1,4
3369,2,5,3,2,1,2,1,2,4
3370,2,5,3,2,1,2,1,3,4
3371,2,5,3,2,1,2,2,1,4
3372,2,5,3,2,1,2,2,2,4
3373,2,5,3,2,1,2,2,3,4
3374,2,5,3,2,1,2,3,1,4
3375,2,5,3,2,1,2,3,2,4
3376,2,5,3,2,1,2,3,3,4
3377,2,5,3,2,1,2,4,1,4
3378,2,5,3,2,1,2,4,2,4
3379,2,5,3,2,1,2,4,3,4
3380,2,5,3,2,1,3,1,1,4
3381,2,5,3,2,1,3,1,2,4
3382,2,5,3,2,1,3,1,3,4
3383,2,5,3,2,1,3,2,1,4
3384,2,5,3,2,1,3,2,2,4
3385,2,5,3,2,1,3,2,3,4
3386,2,5,3,2,1,3,3,1,4
3387,2,5,3,2,1,3,3,2,4
3388,2,5,3,2,1,3,3,3,4
3389,2,5,3,2,1,3,4,1,4
3390,2,5,3,2,1,3,4,2,4
3391,2,5,3,2,1,3,4,3,4
3392,2,5,3,2,2,2,1,1,9
3393,2,5,3,2,2,2,2,1,9
3394,2,5,3,2,2,2,3,1,9
3395,2,5,3,2,2,2,4,1,9
3396,2,5,3,2,3,2,1,1,9
3397,2,5,3,2,3,2,2,1,9
3398,2,5,3,2,3,2,3,1,9
3399,2,5,3,2,3,2,4,1,9
3400,2,5,3,3,1,1,1,1,4
3401,2,5,3,3,1,1,1,2,4
3402,2,5,3,3,1,1,1,3,4
3403,2,5,3,3,1,1,2,1,4
3404,2,5,3,3,1,1,2,2,4
3405,2,5,3,3,1,1,2,3,4
3406,2,5,3,3,1,1,3,1,4
3407,2,5,3,3,1,1,3,2,4
3408,2,5,3,3,1,1,3,3,4
3409,2,5,3,3,1,1,4,1,4
3410,2,5,3,3,1,1,4,2,4
3411,2,5,3,3,1,1,4,3,4
3412,2,5,3,3,1,2,1,1,4
3413,2,5,3,3,1,2,1,2,4
3414,2,5,3,3,1,2,1,3,4
3415,2,5,3,3,1,2,2,1,4
3416,2,5,3,3,1,2,2,2,4
3417,2,5,3,3,1,2,2,3,4
3418,2,5,3,3,1,2,3,1,4
3419,2,5,3,3,1,2,3,2,4
3420,2,5,3,3,1,2,3,3,4
3421,2,5,3,3,1,2,4,1,4
3422,2,5,3,3,1,2,4,2,4
3423,2,5,3,3,1,2,4,3,4
3424,2,5,3,3,1,3,1,1,4
3425,2,5,3,3,1,3,1,2,4
3426,2,5,3,3,1,3,1,3,4
3427,2,5,3,3,1,3,2,1,4
3428,2,5,3,3,1,3,2,2,4
3429,2,5,3,3,1,3,2,3,4
3430,2,5,3,3,1,3,3,1,4
3431,2,5,3,3,1,3,3,2,4
3432,2,5,3,3,1,3,3,3,4
3433,2,5,3,3,1,3,4,1,4
3434,2,5,3,3,1,3,4,2,4
3435,2,5,3,3,1,3,4,3,4
3436,2,5,3,3,2,2,1,1,9
3437,2,5,3,3,2,2,2,1,9
3438,2,5,3,3,2,2,3,1,9
3439,2,5,3,3,2,2,4,1,9
3440,2,5,3,3,3,2,1,1,9
3441,2,5,3,3,3,2,2,1,9
3442,2,5,3,3,3,2,3,1,9
3443,2,5,3,3,3,2,4,1,9
3444,2,6,1,1,1,1,1,1,4
3445,2,6,1,1,1,1,1,2,4
3446,2,6,1,1,1,1,1,3,4
3447,2,6,1,1,1,1,2,1,4
3448,2,6,1,1,1,1,2,2,4
3449,2,6,1,1,1,1,2,3,4
3450,2,6,1,1,1,1,3,1,4
3451,2,6,1,1,1,1,3,2,4
3452,2,6,1,1,1,1,3,3,4
3453,2,6,1,1,1,1,4,1,4
3454,2,6,1,1,1,1,4,2,4
3455,2,6,1,1,1,1,4,3,4
3456,2,6,1,1,1,2,1,1,4
3457,2,6,1,1,1,2,1,2,4
3458,2,6,1,1,1,2,1,3,4
3459,2,6,1,1,1,2,2,1,4
3460,2,6,1,1,1,2,2,2,4
3461,2,6,1,1,1,2,2,3,4
3462,2,6,1,1,1,2,3,1,4
3463,2,6,1,1,1,2,3,2,4
3464,2,6,1,1,1,2,3,3,4
3465,2,6,1,1,1,2,4,1,4
3466,2,6,1,1,1,2,4,2,4
3467,2,6,1,1,1,2,4,3,4
3468,2,6,1,1,1,3,1,1,4
3469,2,6,1,1,1,3,1,2,4
3470,2,6,1,1,1,3,1,3,4
3471,2,6,1,1,1,3,2,1,4
3472,2,6,1,1,1,3,2,2,4
3473,2,6,1,1,1,3,2,3,4
3474,2,6,1,1,1,3,3,1,4
3475,2,6,1,1,1,3,3,2,4
3476,2,6,1,1,1,3,3,3,4
3477,2,6,1,1,1,3,4,1,4
3478,2,6,1,1,1,3,4,2,4
3479,2,6,1,1,1,3,4,3,4
3480,2,6,1,1,2,2,1,1,9
3481,2,6,1,1,2,2,2,1,9
3482,2,6,1,1,2,2,3,1,9
3483,2,6,1,1,2,2,4,1,9
3484,2,6,1,1,3,2,1,1,9
3485,2,6,1,1,3,2,2,1,9
3486,2,6,1,1,3,2,3,1,9
3487,2,6,1,1,3,2,4,1,9
3488,2,6,1,2,1,1,1,1,4
3489,2,6,1,2,1,1,1,2,4
3490,2,6,1,2,1,1,1,3,4
3491,2,6,1,2,1,1,2,1,4
3492,2,6,1,2,1,1,2,2,4
3493,2,6,1,2,1,1,2,3,4
3494,2,6,1,2,1,1,3,1,4
3495,2,6,1,2,1,1,3,2,4
3496,2,6,1,2,1,1,3,3,4
3497,2,6,1,2,1,1,4,1,4
3498,2,6,1,2,1,1,4,2,4
3499,2,6,1,2,1,1,4,3,4
3500,2,6,1,2,1,2,1,1,4
3501,2,6,1,2,1,2,1,2,4
3502,2,6,1,2,1,2,1,3,4
3503,2,6,1,2,1,2,2,1,4
3504,2,6,1,2,1,2,2,2,4
3505,2,6,1,2,1,2,2,3,4
3506,2,6,1,2,1,2,3,1,4
3507,2,6,1,2,1,2,3,2,4
3508,2,6,1,2,1,2,3,3,4
3509,2,6,1,2,1,2,4,1,4
