Type,B,C,D,E,F,G,H,I,J
2602,2,4,1,2,1,1,1,3,1
2603,2,4,1,2,1,1,2,1,1
2604,2,4,1,2,1,1,2,2,1
2605,2,4,1,2,1,1,2,3,1
2606,2,4,1,2,1,1,3,1,1
2607,2,4,1,2,1,1,3,2,1
2608,2,4,1,2,1,1,3,3,1
2609,2,4,1,2,1,1,4,1,1
2610,2,4,1,2,1,1,4,2,1
2611,2,4,1,2,1,1,4,3,1
2613,2,4,1,2,1,2,1,2,1
2614,2,4,1,2,1,2,1,3,1
2615,2,4,1,2,1,2,2,1,1
2616,2,4,1,2,1,2,2,2,1
2617,2,4,1,2,1,2,2,3,1
2618,2,4,1,2,1,2,3,1,1
2619,2,4,1,2,1,2,3,2,1
2620,2,4,1,2,1,2,3,3,1
2621,2,4,1,2,1,2,4,1,1
2622,2,4,1,2,1,2,4,2,1
2623,2,4,1,2,1,2,4,3,1
2624,2,4,1,2,1,3,1,1,1
2625,2,4,1,2,1,3,1,2,1
2626,2,4,1,2,1,3,1,3,1
2627,2,4,1,2,1,3,2,1,1
2628,2,4,1,2,1,3,2,2,1
2629,2,4,1,2,1,3,2,3,1
2630,2,4,1,2,1,3,3,1,1
2631,2,4,1,2,1,3,3,2,1
2632,2,4,1,2,1,3,3,3,1
2633,2,4,1,2,1,3,4,1,1
2634,2,4,1,2,1,3,4,2,1
2635,2,4,1,2,1,3,4,3,1
2636,2,4,1,2,2,2,1,1,3
2637,2,4,1,2,2,2,2,1,3
2638,2,4,1,2,2,2,3,1,3
2639,2,4,1,2,2,2,4,1,3
2640,2,4,1,2,3,2,1,1,3
2641,2,4,1,2,3,2,2,1,3
2642,2,4,1,2,3,2,3,1,3
2643,2,4,1,2,3,2,4,1,3
2644,2,4,1,3,1,1,1,1,1
2645,2,4,1,3,1,1,1,2,1
2646,2,4,1,3,1,1,1,3,1
2647,2,4,1,3,1,1,2,1,1
2648,2,4,1,3,1,1,2,2,1
2649,2,4,1,3,1,1,2,3,1
2650,2,4,1,3,1,1,3,1,1
2651,2,4,1,3,1,1,3,2,1
2652,2,4,1,3,1,1,3,3,1
2653,2,4,1,3,1,1,4,1,1
2654,2,4,1,3,1,1,4,2,1
2655,2,4,1,3,1,1,4,3,1
2656,2,4,1,3,1,2,1,1,1
2657,2,4,1,3,1,2,1,2,1
2658,2,4,1,3,1,2,1,3,1
2659,2,4,1,3,1,2,2,1,1
2660,2,4,1,3,1,2,2,2,1
2661,2,4,1,3,1,2,2,3,1
2662,2,4,1,3,1,2,3,1,1
2663,2,4,1,3,1,2,3,2,1
2665,2,4,1,3,1,2,4,1,1
2666,2,4,1,3,1,2,4,2,1
2667,2,4,1,3,1,2,4,3,1
2668,2,4,1,3,1,3,1,1,1
2669,2,4,1,3,1,3,1,2,1
2670,2,4,1,3,1,3,1,3,1
2672,2,4,1,3,1,3,2,2,1
2673,2,4,1,3,1,3,2,3,1
2674,2,4,1,3,1,3,3,1,1
2675,2,4,1,3,1,3,3,2,1
2676,2,4,1,3,1,3,3,3,1
2677,2,4,1,3,1,3,4,1,1
2678,2,4,1,3,1,3,4,2,1
2679,2,4,1,3,1,3,4,3,1
2680,2,4,1,3,2,2,1,1,3
2681,2,4,1,3,2,2,2,1,3
2683,2,4,1,3,2,2,4,1,3
2684,2,4,1,3,3,2,1,1,3
2685,2,4,1,3,3,2,2,1,3
2686,2,4,1,3,3,2,3,1,3
2687,2,4,1,3,3,2,4,1,3
2688,2,4,2,1,1,1,1,1,1
2689,2,4,2,1,1,1,1,2,1
2690,2,4,2,1,1,1,1,3,1
2691,2,4,2,1,1,1,2,1,1
2692,2,4,2,1,1,1,2,2,1
2693,2,4,2,1,1,1,2,3,1
2695,2,4,2,1,1,1,3,2,1
2696,2,4,2,1,1,1,3,3,1
2697,2,4,2,1,1,1,4,1,1
2698,2,4,2,1,1,1,4,2,1
2700,2,4,2,1,1,2,1,1,1
2702,2,4,2,1,1,2,1,3,1
2703,2,4,2,1,1,2,2,1,1
2704,2,4,2,1,1,2,2,2,1
2705,2,4,2,1,1,2,2,3,1
2706,2,4,2,1,1,2,3,1,1
2707,2,4,2,1,1,2,3,2,1
2709,2,4,2,1,1,2,4,1,1
2710,2,4,2,1,1,2,4,2,1
2711,2,4,2,1,1,2,4,3,1
2712,2,4,2,1,1,3,1,1,1
2713,2,4,2,1,1,3,1,2,1
2714,2,4,2,1,1,3,1,3,1
2715,2,4,2,1,1,3,2,1,1
2716,2,4,2,1,1,3,2,2,1
2717,2,4,2,1,1,3,2,3,1
2718,2,4,2,1,1,3,3,1,1
2719,2,4,2,1,1,3,3,2,1
2720,2,4,2,1,1,3,3,3,1
2721,2,4,2,1,1,3,4,1,1
2722,2,4,2,1,1,3,4,2,1
2724,2,4,2,1,2,1,1,1,3
2725,2,4,2,1,2,1,1,2,3
2726,2,4,2,1,2,1,1,3,3
2727,2,4,2,1,2,1,2,1,3
2728,2,4,2,1,2,1,2,2,3
2729,2,4,2,1,2,1,2,3,3
2730,2,4,2,1,2,1,3,1,3
2732,2,4,2,1,2,1,3,3,3
2733,2,4,2,1,2,1,4,1,3
2734,2,4,2,1,2,1,4,2,3
2735,2,4,2,1,2,1,4,3,3
2736,2,4,2,1,2,2,1,1,3
2737,2,4,2,1,2,2,1,2,3
2738,2,4,2,1,2,2,1,3,3
2739,2,4,2,1,2,2,2,1,3
2741,2,4,2,1,2,2,2,3,3
2742,2,4,2,1,2,2,3,1,3
2743,2,4,2,1,2,2,3,2,3
2744,2,4,2,1,2,2,3,3,3
2745,2,4,2,1,2,2,4,1,3
2746,2,4,2,1,2,2,4,2,3
2747,2,4,2,1,2,2,4,3,3
2748,2,4,2,1,2,3,1,1,3
2749,2,4,2,1,2,3,1,2,3
2750,2,4,2,1,2,3,1,3,3
2751,2,4,2,1,2,3,2,1,3
2752,2,4,2,1,2,3,2,2,3
2753,2,4,2,1,2,3,2,3,3
2754,2,4,2,1,2,3,3,1,3
2755,2,4,2,1,2,3,3,2,3
2757,2,4,2,1,2,3,4,1,3
2758,2,4,2,1,2,3,4,2,3
2759,2,4,2,1,2,3,4,3,3
2760,2,4,2,1,3,2,1,1,3
2761,2,4,2,1,3,2,2,1,3
2762,2,4,2,1,3,2,3,1,3
2763,2,4,2,1,3,2,4,1,3
2764,2,4,2,2,1,1,1,1,1
2766,2,4,2,2,1,1,1,3,1
2767,2,4,2,2,1,1,2,1,1
2768,2,4,2,2,1,1,2,2,1
2769,2,4,2,2,1,1,2,3,1
2771,2,4,2,2,1,1,3,2,1
2772,2,4,2,2,1,1,3,3,1
2773,2,4,2,2,1,1,4,1,1
2774,2,4,2,2,1,1,4,2,1
2775,2,4,2,2,1,1,4,3,1
2776,2,4,2,2,1,2,1,1,1
2777,2,4,2,2,1,2,1,2,1
2778,2,4,2,2,1,2,1,3,1
2779,2,4,2,2,1,2,2,1,1
2781,2,4,2,2,1,2,2,3,1
2782,2,4,2,2,1,2,3,1,1
2783,2,4,2,2,1,2,3,2,1
2784,2,4,2,2,1,2,3,3,1
2785,2,4,2,2,1,2,4,1,1
2786,2,4,2,2,1,2,4,2,1
2787,2,4,2,2,1,2,4,3,1
2788,2,4,2,2,1,3,1,1,1
2789,2,4,2,2,1,3,1,2,1
2791,2,4,2,2,1,3,2,1,1
2792,2,4,2,2,1,3,2,2,1
2793,2,4,2,2,1,3,2,3,1
2794,2,4,2,2,1,3,3,1,1
2795,2,4,2,2,1,3,3,2,1
2796,2,4,2,2,1,3,3,3,1
2797,2,4,2,2,1,3,4,1,1
2798,2,4,2,2,1,3,4,2,1
2799,2,4,2,2,1,3,4,3,1
2800,2,4,2,2,2,1,1,1,3
2801,2,4,2,2,2,1,1,2,3
2802,2,4,2,2,2,1,1,3,3
2803,2,4,2,2,2,1,2,1,3
2804,2,4,2,2,2,1,2,2,3
2805,2,4,2,2,2,1,2,3,3
2806,2,4,2,2,2,1,3,1,3
2807,2,4,2,2,2,1,3,2,3
2808,2,4,2,2,2,1,3,3,3
2809,2,4,2,2,2,1,4,1,3
2812,2,4,2,2,2,2,1,1,3
2813,2,4,2,2,2,2,1,2,3
2814,2,4,2,2,2,2,1,3,3
2818,2,4,2,2,2,2,3,1,3
2819,2,4,2,2,2,2,3,2,3
2820,2,4,2,2,2,2,3,3,3
2821,2,4,2,2,2,2,4,1,3
2822,2,4,2,2,2,2,4,2,3
2823,2,4,2,2,2,2,4,3,3
2824,2,4,2,2,2,3,1,1,3
2825,2,4,2,2,2,3,1,2,3
2826,2,4,2,2,2,3,1,3,3
2827,2,4,2,2,2,3,2,1,3
2828,2,4,2,2,2,3,2,2,3
2829,2,4,2,2,2,3,2,3,3
2830,2,4,2,2,2,3,3,1,3
2831,2,4,2,2,2,3,3,2,3
2832,2,4,2,2,2,3,3,3,3
2833,2,4,2,2,2,3,4,1,3
2834,2,4,2,2,2,3,4,2,3
2835,2,4,2,2,2,3,4,3,3
2836,2,4,2,2,3,2,1,1,3
2837,2,4,2,2,3,2,2,1,3
2838,2,4,2,2,3,2,3,1,3
2840,2,4,2,3,1,1,1,1,1
2841,2,4,2,3,1,1,1,2,1
2842,2,4,2,3,1,1,1,3,1
2843,2,4,2,3,1,1,2,1,1
2844,2,4,2,3,1,1,2,2,1
2845,2,4,2,3,1,1,2,3,1
2846,2,4,2,3,1,1,3,1,1
2847,2,4,2,3,1,1,3,2,1
2848,2,4,2,3,1,1,3,3,1
2849,2,4,2,3,1,1,4,1,1
2850,2,4,2,3,1,1,4,2,1
2851,2,4,2,3,1,1,4,3,1
2852,2,4,2,3,1,2,1,1,1
2853,2,4,2,3,1,2,1,2,1
2854,2,4,2,3,1,2,1,3,1
2856,2,4,2,3,1,2,2,2,1
2857,2,4,2,3,1,2,2,3,1
2858,2,4,2,3,1,2,3,1,1
2859,2,4,2,3,1,2,3,2,1
2860,2,4,2,3,1,2,3,3,1
2861,2,4,2,3,1,2,4,1,1
2862,2,4,2,3,1,2,4,2,1
2863,2,4,2,3,1,2,4,3,1
2864,2,4,2,3,1,3,1,1,1
2865,2,4,2,3,1,3,1,2,1
2866,2,4,2,3,1,3,1,3,1
2867,2,4,2,3,1,3,2,1,1
2868,2,4,2,3,1,3,2,2,1
2869,2,4,2,3,1,3,2,3,1
2870,2,4,2,3,1,3,3,1,1
2871,2,4,2,3,1,3,3,2,1
2872,2,4,2,3,1,3,3,3,1
2873,2,4,2,3,1,3,4,1,1
2874,2,4,2,3,1,3,4,2,1
2875,2,4,2,3,1,3,4,3,1
2876,2,4,2,3,2,1,1,1,3
2877,2,4,2,3,2,1,1,2,3
2878,2,4,2,3,2,1,1,3,3
2879,2,4,2,3,2,1,2,1,3
2880,2,4,2,3,2,1,2,2,3
2881,2,4,2,3,2,1,2,3,3
2882,2,4,2,3,2,1,3,1,3
2883,2,4,2,3,2,1,3,2,3
2884,2,4,2,3,2,1,3,3,3
2885,2,4,2,3,2,1,4,1,3
2886,2,4,2,3,2,1,4,2,3
2887,2,4,2,3,2,1,4,3,3
2888,2,4,2,3,2,2,1,1,3
2889,2,4,2,3,2,2,1,2,3
2890,2,4,2,3,2,2,1,3,3
2892,2,4,2,3,2,2,2,2,3
2893,2,4,2,3,2,2,2,3,3
2894,2,4,2,3,2,2,3,1,3
2895,2,4,2,3,2,2,3,2,3
2896,2,4,2,3,2,2,3,3,3
2897,2,4,2,3,2,2,4,1,3
2898,2,4,2,3,2,2,4,2,3
2899,2,4,2,3,2,2,4,3,3
2900,2,4,2,3,2,3,1,1,3
2901,2,4,2,3,2,3,1,2,3
2904,2,4,2,3,2,3,2,2,3
2905,2,4,2,3,2,3,2,3,3
2906,2,4,2,3,2,3,3,1,3
2907,2,4,2,3,2,3,3,2,3
2908,2,4,2,3,2,3,3,3,3
2909,2,4,2,3,2,3,4,1,3
2910,2,4,2,3,2,3,4,2,3
2911,2,4,2,3,2,3,4,3,3
2912,2,4,2,3,3,2,1,1,3
2913,2,4,2,3,3,2,2,1,3
2914,2,4,2,3,3,2,3,1,3
2916,2,4,3,1,1,1,1,1,1
2917,2,4,3,1,1,1,1,2,1
2918,2,4,3,1,1,1,1,3,1
2919,2,4,3,1,1,1,2,1,1
2920,2,4,3,1,1,1,2,2,1
2921,2,4,3,1,1,1,2,3,1
2922,2,4,3,1,1,1,3,1,1
2923,2,4,3,1,1,1,3,2,1
2925,2,4,3,1,1,1,4,1,1
2926,2,4,3,1,1,1,4,2,1
2927,2,4,3,1,1,1,4,3,1
2928,2,4,3,1,1,2,1,1,1
2929,2,4,3,1,1,2,1,2,1
2931,2,4,3,1,1,2,2,1,1
2932,2,4,3,1,1,2,2,2,1
2933,2,4,3,1,1,2,2,3,1
2934,2,4,3,1,1,2,3,1,1
2935,2,4,3,1,1,2,3,2,1
2936,2,4,3,1,1,2,3,3,1
2937,2,4,3,1,1,2,4,1,1
2938,2,4,3,1,1,2,4,2,1
2939,2,4,3,1,1,2,4,3,1
2940,2,4,3,1,1,3,1,1,1
2941,2,4,3,1,1,3,1,2,1
2942,2,4,3,1,1,3,1,3,1
2943,2,4,3,1,1,3,2,1,1
2945,2,4,3,1,1,3,2,3,1
2946,2,4,3,1,1,3,3,1,1
2947,2,4,3,1,1,3,3,2,1
2948,2,4,3,1,1,3,3,3,1
2949,2,4,3,1,1,3,4,1,1
2950,2,4,3,1,1,3,4,2,1
2951,2,4,3,1,1,3,4,3,1
2953,2,4,3,1,2,2,2,1,3
2954,2,4,3,1,2,2,3,1,3
2956,2,4,3,1,3,2,1,1,3
2957,2,4,3,1,3,2,2,1,3
2958,2,4,3,1,3,2,3,1,3
2959,2,4,3,1,3,2,4,1,3
2960,2,4,3,2,1,1,1,1,1
2961,2,4,3,2,1,1,1,2,1
2962,2,4,3,2,1,1,1,3,1
2963,2,4,3,2,1,1,2,1,1
2964,2,4,3,2,1,1,2,2,1
2965,2,4,3,2,1,1,2,3,1
2966,2,4,3,2,1,1,3,1,1
2967,2,4,3,2,1,1,3,2,1
2968,2,4,3,2,1,1,3,3,1
2969,2,4,3,2,1,1,4,1,1
2970,2,4,3,2,1,1,4,2,1
2971,2,4,3,2,1,1,4,3,1
2972,2,4,3,2,1,2,1,1,1
2973,2,4,3,2,1,2,1,2,1
2974,2,4,3,2,1,2,1,3,1
2975,2,4,3,2,1,2,2,1,1
2976,2,4,3,2,1,2,2,2,1
2977,2,4,3,2,1,2,2,3,1
2978,2,4,3,2,1,2,3,1,1
2979,2,4,3,2,1,2,3,2,1
2980,2,4,3,2,1,2,3,3,1
2983,2,4,3,2,1,2,4,3,1
2984,2,4,3,2,1,3,1,1,1
2985,2,4,3,2,1,3,1,2,1
2987,2,4,3,2,1,3,2,1,1
2988,2,4,3,2,1,3,2,2,1
2989,2,4,3,2,1,3,2,3,1
2990,2,4,3,2,1,3,3,1,1
2991,2,4,3,2,1,3,3,2,1
2992,2,4,3,2,1,3,3,3,1
2993,2,4,3,2,1,3,4,1,1
2994,2,4,3,2,1,3,4,2,1
2996,2,4,3,2,2,2,1,1,3
2997,2,4,3,2,2,2,2,1,3
2998,2,4,3,2,2,2,3,1,3
2999,2,4,3,2,2,2,4,1,3
3000,2,4,3,2,3,2,1,1,3
3001,2,4,3,2,3,2,2,1,3
3002,2,4,3,2,3,2,3,1,3
3003,2,4,3,2,3,2,4,1,3
3004,2,4,3,3,1,1,1,1,1
3005,2,4,3,3,1,1,1,2,1
3006,2,4,3,3,1,1,1,3,1
3007,2,4,3,3,1,1,2,1,1
3008,2,4,3,3,1,1,2,2,1
3009,2,4,3,3,1,1,2,3,1
3010,2,4,3,3,1,1,3,1,1
3011,2,4,3,3,1,1,3,2,1
3012,2,4,3,3,1,1,3,3,1
3014,2,4,3,3,1,1,4,2,1
3015,2,4,3,3,1,1,4,3,1
3016,2,4,3,3,1,2,1,1,1
3017,2,4,3,3,1,2,1,2,1
3018,2,4,3,3,1,2,1,3,1
3019,2,4,3,3,1,2,2,1,1
3020,2,4,3,3,1,2,2,2,1
3021,2,4,3,3,1,2,2,3,1
3022,2,4,3,3,1,2,3,1,1
3023,2,4,3,3,1,2,3,2,1
3024,2,4,3,3,1,2,3,3,1
3025,2,4,3,3,1,2,4,1,1
3026,2,4,3,3,1,2,4,2,1
3027,2,4,3,3,1,2,4,3,1
3028,2,4,3,3,1,3,1,1,1
3029,2,4,3,3,1,3,1,2,1
3030,2,4,3,3,1,3,1,3,1
3031,2,4,3,3,1,3,2,1,1
3032,2,4,3,3,1,3,2,2,1
3033,2,4,3,3,1,3,2,3,1
3034,2,4,3,3,1,3,3,1,1
3035,2,4,3,3,1,3,3,2,1
3036,2,4,3,3,1,3,3,3,1
3037,2,4,3,3,1,3,4,1,1
3038,2,4,3,3,1,3,4,2,1
3039,2,4,3,3,1,3,4,3,1
3040,2,4,3,3,2,2,1,1,3
3043,2,4,3,3,2,2,4,1,3
3044,2,4,3,3,3,2,1,1,3
3046,2,4,3,3,3,2,3,1,3
3047,2,4,3,3,3,2,4,1,3
3048,2,5,1,1,1,1,1,1,1
3049,2,5,1,1,1,1,1,2,1
3050,2,5,1,1,1,1,1,3,1
3051,2,5,1,1,1,1,2,1,1
3052,2,5,1,1,1,1,2,2,1
3053,2,5,1,1,1,1,2,3,1
3054,2,5,1,1,1,1,3,1,1
3055,2,5,1,1,1,1,3,2,1
3056,2,5,1,1,1,1,3,3,1
3057,2,5,1,1,1,1,4,1,1
3058,2,5,1,1,1,1,4,2,1
3059,2,5,1,1,1,1,4,3,1
3060,2,5,1,1,1,2,1,1,1
3061,2,5,1,1,1,2,1,2,1
3062,2,5,1,1,1,2,1,3,1
3063,2,5,1,1,1,2,2,1,1
3065,2,5,1,1,1,2,2,3,1
3066,2,5,1,1,1,2,3,1,1
3067,2,5,1,1,1,2,3,2,1
3070,2,5,1,1,1,2,4,2,1
3072,2,5,1,1,1,3,1,1,1
3073,2,5,1,1,1,3,1,2,1
3074,2,5,1,1,1,3,1,3,1
3075,2,5,1,1,1,3,2,1,1
3076,2,5,1,1,1,3,2,2,1
3077,2,5,1,1,1,3,2,3,1
3078,2,5,1,1,1,3,3,1,1
3079,2,5,1,1,1,3,3,2,1
3080,2,5,1,1,1,3,3,3,1
3081,2,5,1,1,1,3,4,1,1
3082,2,5,1,1,1,3,4,2,1
3083,2,5,1,1,1,3,4,3,1
3084,2,5,1,1,2,2,1,1,3
3085,2,5,1,1,2,2,2,1,3
3086,2,5,1,1,2,2,3,1,3
3087,2,5,1,1,2,2,4,1,3
3088,2,5,1,1,3,2,1,1,3
3089,2,5,1,1,3,2,2,1,3
3090,2,5,1,1,3,2,3,1,3
3091,2,5,1,1,3,2,4,1,3
3092,2,5,1,2,1,1,1,1,1
3093,2,5,1,2,1,1,1,2,1
3094,2,5,1,2,1,1,1,3,1
3095,2,5,1,2,1,1,2,1,1
3096,2,5,1,2,1,1,2,2,1
3097,2,5,1,2,1,1,2,3,1
3098,2,5,1,2,1,1,3,1,1
3099,2,5,1,2,1,1,3,2,1
3100,2,5,1,2,1,1,3,3,1
3101,2,5,1,2,1,1,4,1,1
3102,2,5,1,2,1,1,4,2,1
3103,2,5,1,2,1,1,4,3,1
3104,2,5,1,2,1,2,1,1,1
3105,2,5,1,2,1,2,1,2,1
3106,2,5,1,2,1,2,1,3,1
3107,2,5,1,2,1,2,2,1,1
3108,2,5,1,2,1,2,2,2,1
3109,2,5,1,2,1,2,2,3,1
3110,2,5,1,2,1,2,3,1,1
3111,2,5,1,2,1,2,3,2,1
3112,2,5,1,2,1,2,3,3,1
3113,2,5,1,2,1,2,4,1,1
3114,2,5,1,2,1,2,4,2,1
3115,2,5,1,2,1,2,4,3,1
3116,2,5,1,2,1,3,1,1,1
3117,2,5,1,2,1,3,1,2,1
3118,2,5,1,2,1,3,1,3,1
3119,2,5,1,2,1,3,2,1,1
3120,2,5,1,2,1,3,2,2,1
3121,2,5,1,2,1,3,2,3,1
3122,2,5,1,2,1,3,3,1,1
3123,2,5,1,2,1,3,3,2,1
3124,2,5,1,2,1,3,3,3,1
3125,2,5,1,2,1,3,4,1,1
3126,2,5,1,2,1,3,4,2,1
3127,2,5,1,2,1,3,4,3,1
3128,2,5,1,2,2,2,1,1,3
3129,2,5,1,2,2,2,2,1,3
3130,2,5,1,2,2,2,3,1,3
3131,2,5,1,2,2,2,4,1,3
3132,2,5,1,2,3,2,1,1,3
3133,2,5,1,2,3,2,2,1,3
3134,2,5,1,2,3,2,3,1,3
3135,2,5,1,2,3,2,4,1,3
3136,2,5,1,3,1,1,1,1,1
3137,2,5,1,3,1,1,1,2,1
3138,2,5,1,3,1,1,1,3,1
3139,2,5,1,3,1,1,2,1,1
3140,2,5,1,3,1,1,2,2,1
3142,2,5,1,3,1,1,3,1,1
3143,2,5,1,3,1,1,3,2,1
3144,2,5,1,3,1,1,3,3,1
3145,2,5,1,3,1,1,4,1,1
3146,2,5,1,3,1,1,4,2,1
3147,2,5,1,3,1,1,4,3,1
3149,2,5,1,3,1,2,1,2,1
3150,2,5,1,3,1,2,1,3,1
3151,2,5,1,3,1,2,2,1,1
3152,2,5,1,3,1,2,2,2,1
3153,2,5,1,3,1,2,2,3,1
3154,2,5,1,3,1,2,3,1,1
3155,2,5,1,3,1,2,3,2,1
3156,2,5,1,3,1,2,3,3,1
3157,2,5,1,3,1,2,4,1,1
3158,2,5,1,3,1,2,4,2,1
3159,2,5,1,3,1,2,4,3,1
3160,2,5,1,3,1,3,1,1,1
3161,2,5,1,3,1,3,1,2,1
3162,2,5,1,3,1,3,1,3,1
3163,2,5,1,3,1,3,2,1,1
3164,2,5,1,3,1,3,2,2,1
3165,2,5,1,3,1,3,2,3,1
3166,2,5,1,3,1,3,3,1,1
3167,2,5,1,3,1,3,3,2,1
3168,2,5,1,3,1,3,3,3,1
3169,2,5,1,3,1,3,4,1,1
3170,2,5,1,3,1,3,4,2,1
3171,2,5,1,3,1,3,4,3,1
3172,2,5,1,3,2,2,1,1,3
3173,2,5,1,3,2,2,2,1,3
3174,2,5,1,3,2,2,3,1,3
3175,2,5,1,3,2,2,4,1,3
3176,2,5,1,3,3,2,1,1,3
3177,2,5,1,3,3,2,2,1,3
3178,2,5,1,3,3,2,3,1,3
3179,2,5,1,3,3,2,4,1,3
3180,2,5,2,1,1,1,1,1,1
3182,2,5,2,1,1,1,1,3,1
3183,2,5,2,1,1,1,2,1,1
3184,2,5,2,1,1,1,2,2,1
3185,2,5,2,1,1,1,2,3,1
3186,2,5,2,1,1,1,3,1,1
3187,2,5,2,1,1,1,3,2,1
3188,2,5,2,1,1,1,3,3,1
3189,2,5,2,1,1,1,4,1,1
3190,2,5,2,1,1,1,4,2,1
3191,2,5,2,1,1,1,4,3,1
3192,2,5,2,1,1,2,1,1,1
3193,2,5,2,1,1,2,1,2,1
3195,2,5,2,1,1,2,2,1,1
3196,2,5,2,1,1,2,2,2,1
3197,2,5,2,1,1,2,2,3,1
3198,2,5,2,1,1,2,3,1,1
3199,2,5,2,1,1,2,3,2,1
3200,2,5,2,1,1,2,3,3,1
3201,2,5,2,1,1,2,4,1,1
3202,2,5,2,1,1,2,4,2,1
3204,2,5,2,1,1,3,1,1,1
3205,2,5,2,1,1,3,1,2,1
3206,2,5,2,1,1,3,1,3,1
3207,2,5,2,1,1,3,2,1,1
3208,2,5,2,1,1,3,2,2,1
3209,2,5,2,1,1,3,2,3,1
3210,2,5,2,1,1,3,3,1,1
3211,2,5,2,1,1,3,3,2,1
3212,2,5,2,1,1,3,3,3,1
3213,2,5,2,1,1,3,4,1,1
3214,2,5,2,1,1,3,4,2,1
3216,2,5,2,1,2,2,1,1,3
3217,2,5,2,1,2,2,2,1,3
3218,2,5,2,1,2,2,3,1,3
3219,2,5,2,1,2,2,4,1,3
3220,2,5,2,1,3,2,1,1,3
3221,2,5,2,1,3,2,2,1,3
3222,2,5,2,1,3,2,3,1,3
3223,2,5,2,1,3,2,4,1,3
3224,2,5,2,2,1,1,1,1,1
3225,2,5,2,2,1,1,1,2,1
3226,2,5,2,2,1,1,1,3,1
3227,2,5,2,2,1,1,2,1,1
3228,2,5,2,2,1,1,2,2,1
3229,2,5,2,2,1,1,2,3,1
3230,2,5,2,2,1,1,3,1,1
3231,2,5,2,2,1,1,3,2,1
3232,2,5,2,2,1,1,3,3,1
3234,2,5,2,2,1,1,4,2,1
3235,2,5,2,2,1,1,4,3,1
3236,2,5,2,2,1,2,1,1,1
3237,2,5,2,2,1,2,1,2,1
3238,2,5,2,2,1,2,1,3,1
3239,2,5,2,2,1,2,2,1,1
3240,2,5,2,2,1,2,2,2,1
3241,2,5,2,2,1,2,2,3,1
3242,2,5,2,2,1,2,3,1,1
3243,2,5,2,2,1,2,3,2,1
3244,2,5,2,2,1,2,3,3,1
3245,2,5,2,2,1,2,4,1,1
3246,2,5,2,2,1,2,4,2,1
3247,2,5,2,2,1,2,4,3,1
3248,2,5,2,2,1,3,1,1,1
3249,2,5,2,2,1,3,1,2,1
3250,2,5,2,2,1,3,1,3,1
3251,2,5,2,2,1,3,2,1,1
3253,2,5,2,2,1,3,2,3,1
3254,2,5,2,2,1,3,3,1,1
3255,2,5,2,2,1,3,3,2,1
3256,2,5,2,2,1,3,3,3,1
3257,2,5,2,2,1,3,4,1,1
3258,2,5,2,2,1,3,4,2,1
3259,2,5,2,2,1,3,4,3,1
3260,2,5,2,2,2,2,1,1,3
3261,2,5,2,2,2,2,2,1,3
3262,2,5,2,2,2,2,3,1,3
3263,2,5,2,2,2,2,4,1,3
3264,2,5,2,2,3,2,1,1,3
3265,2,5,2,2,3,2,2,1,3
3266,2,5,2,2,3,2,3,1,3
3267,2,5,2,2,3,2,4,1,3
3268,2,5,2,3,1,1,1,1,1
3269,2,5,2,3,1,1,1,2,1
3270,2,5,2,3,1,1,1,3,1
3271,2,5,2,3,1,1,2,1,1
3272,2,5,2,3,1,1,2,2,1
3273,2,5,2,3,1,1,2,3,1
3275,2,5,2,3,1,1,3,2,1
3276,2,5,2,3,1,1,3,3,1
3278,2,5,2,3,1,1,4,2,1
3279,2,5,2,3,1,1,4,3,1
3280,2,5,2,3,1,2,1,1,1
3281,2,5,2,3,1,2,1,2,1
3282,2,5,2,3,1,2,1,3,1
3283,2,5,2,3,1,2,2,1,1
3284,2,5,2,3,1,2,2,2,1
3285,2,5,2,3,1,2,2,3,1
3286,2,5,2,3,1,2,3,1,1
3287,2,5,2,3,1,2,3,2,1
3288,2,5,2,3,1,2,3,3,1
3290,2,5,2,3,1,2,4,2,1
3291,2,5,2,3,1,2,4,3,1
3292,2,5,2,3,1,3,1,1,1
3293,2,5,2,3,1,3,1,2,1
3294,2,5,2,3,1,3,1,3,1
3295,2,5,2,3,1,3,2,1,1
3296,2,5,2,3,1,3,2,2,1
3297,2,5,2,3,1,3,2,3,1
3298,2,5,2,3,1,3,3,1,1
3299,2,5,2,3,1,3,3,2,1
3300,2,5,2,3,1,3,3,3,1
3301,2,5,2,3,1,3,4,1,1
3302,2,5,2,3,1,3,4,2,1
3303,2,5,2,3,1,3,4,3,1
3304,2,5,2,3,2,2,1,1,3
3305,2,5,2,3,2,2,2,1,3
3306,2,5,2,3,2,2,3,1,3
3307,2,5,2,3,2,2,4,1,3
3308,2,5,2,3,3,2,1,1,3
3309,2,5,2,3,3,2,2,1,3
3310,2,5,2,3,3,2,3,1,3
3311,2,5,2,3,3,2,4,1,3
3312,2,5,3,1,1,1,1,1,1
3313,2,5,3,1,1,1,1,2,1
3314,2,5,3,1,1,1,1,3,1
3315,2,5,3,1,1,1,2,1,1
3316,2,5,3,1,1,1,2,2,1
3317,2,5,3,1,1,1,2,3,1
3318,2,5,3,1,1,1,3,1,1
3319,2,5,3,1,1,1,3,2,1
3320,2,5,3,1,1,1,3,3,1
3321,2,5,3,1,1,1,4,1,1
